service_request_id,status,status_notes,service_name,service_code,requested_datetime,updated_datetime,address,lat,long,token,description
25-00008185,closed,"Issue Has Been Resolved - Close SR. After investigation, this turn out to be an issue involving Transit Priority given to buses that were located at the nearby bus station. This has been resolved and there are no longer any phases skipping.",Traffic Signal - Modification,ATTRSIMO,2025-01-08T17:10:17Z,2025-02-06T15:18:12Z,"W Ben White Blvd Svrd Wb & Victory Dr, Austin",30.23199494,-97.791512,b6a30b8f-4000-4a3b-91e7-457d7b5d53ab,
25-00039951,open,Completed. Observed for several cycles via timing values and historical intersection timing report and closed circuit television. This intersection does have louvers on proposed indications. Assigning to signal engineering to evaluate louver positions.,Traffic Signal - Modification,ATTRSIMO,2025-02-06T13:55:37Z,2025-02-06T14:53:56Z,"111 W Anderson Ln Svrd EB, Austin",30.34377943,-97.70670807,4fc1ab68-4c88-4ee9-abc8-45ac096cfd6b,
24-00413364,closed,"Issue Has Been Resolved - Close SR. RED RIVER ST / PARK BLVD (Hancock Center)    TMC24-451545    311 SR Number 24-00413364 Request is for clarification of intersection controls at Park and Red River.311 Feedback asked to redirect to TED as it is a road marking, traffic safety issue.Requestor notified by email that request forwarded to TED for their review.",Traffic Signal - Modification,ATTRSIMO,2024-11-13T22:05:30Z,2025-02-05T21:27:39Z,"813 Park Blvd, Austin",30.30148019,-97.72162948,4765b227-606a-4f10-ab95-952dd2b3f2f7,"East-bound cars turning from Park Blvd onto Red River St have extremely limited lines of sight due to the stop sign being located well behind fencing and other structures to the left, as well as absent road markings for a bike lane making it unclear how far into the street it is safe to move to see oncoming cars. I am submitting this issue report because it nearly caused a crash, in hopes that a change to the traffic signal(s) and/or road markings can make the intersection safer."
25-00039110,open,Completed.,Traffic Signal - Modification,ATTRSIMO,2025-02-05T19:05:10Z,2025-02-05T20:04:31Z,"2000 W Ben White Blvd Svrd WB, Austin",30.23032777,-97.78806545,88637cca-52ca-4d08-b586-8a605a42c002,Request to modify the traffic signal on Southbound Menchaca at Ben White to allow the middle lane to turn left. There's heavy morning congestion for those heading southbound on Menchaca attempting to get on Eastbound Ben White as the left lane is left turn only & the middle lane is straight only. Allowing the middle lane to turn left & go straight would prevent the current issue of vehicles illegally turning left from the middle lane due to the long line for the left lane.
25-00038683,open,Completed.,Traffic Signal - Modification,ATTRSIMO,2025-02-05T15:26:37Z,2025-02-05T17:23:01Z,"West Gate Blvd & W William Cannon Dr, Austin",30.20720119,-97.81539056,5298bd1e-6a28-4fa1-8736-c89966a222f6,
25-00038594,open,Completed.,Traffic Signal - Modification,ATTRSIMO,2025-02-05T14:25:53Z,2025-02-05T14:52:32Z,"5103 Manor Rd, Austin",30.2981517,-97.68701942,85120080-2703-42d2-9c95-00a6fdc8a4c3,Light cycle adjustment needed at manor & 51st. 
25-00038236,closed,Issue Has Been Resolved - Close SR. The City of Austin does not maintain this signal. Please forward this to the correct agency. Thanks.,Traffic Signal - Modification,ATTRSIMO,2025-02-05T00:27:30Z,2025-02-05T00:47:40Z,"6534 W 290 Hwy, Austin",30.23457006,-97.86457144,3c250bee-5383-4470-bb1e-314564650f86,"The green is way too short at evening rush hour, on Southbound William Cannon crossing 290.  Only about 5 or 6 car lengths can get through before it turns red."
24-00427246,closed,"Issue Has Been Resolved - Close SR. 11720 FM 1826 RD, AUSTIN, TX 78737     TMC24-453955     311 SR Number 24-00427246Request for a crosswalk on FM 1826 and SH45.  Intersection is outside CoA full-purpose limits, and in Travis County.  Additionally, FM 1826 and SH45 are state highways under TxDOT.Requestor informed by email that is not CoA and given Travis County TNR and TxDOT contact information.",Traffic Signal - Modification,ATTRSIMO,2024-11-26T02:44:40Z,2025-02-04T23:01:42Z,"11720 1826 Rd, Austin",30.19270171,-97.92530238,2c654042-a017-4018-ac36-e68fd4e64364,
24-00436483,closed,"Issue Has Been Resolved - Close SR. 1004 E 50TH ST, AUSTIN, TX    TMC24-455360   311 SR Number 24-00436483Request for PHB on EB 51st Street at IH 35 roundabout. 311 Feedback asked to redirect to TED as it is a pedestrian related request.Requestor notified by email that request forwarded to TED for their review.",Traffic Signal - Modification,ATTRSIMO,2024-12-06T03:10:04Z,2025-02-04T22:31:43Z,"1004 E 50th St, Austin",3.44233722,-105.9832039,0e1e9f0f-87a4-4296-baa2-8ecbd23808be,
25-00038009,closed,"Issue Has Been Resolved - Close SR. Monitored intersections through live graphics and historical timing values, and verified that detection was working at the intersection. The traffic signal is working correctly and according to plan. We will keep monitoring signal operations. Thanks.",Traffic Signal - Modification,ATTRSIMO,2025-02-04T21:32:12Z,2025-02-04T22:17:11Z,"1007 W 45th St, Austin",30.31353623,-97.73775391,cb3bb8f9-a39a-46bb-ab39-18021857b919,Was the left turn lane time shortened? Heading south east on 45th Street and turning left on Lamar the left green arrow is only 10 seconds long. The left turn lane is backed up from Lamar all the way back to Burnet.
25-00040641,closed,Issue Has Been Resolved - Close SR. TMC25-465520.,Traffic Signal - Maintenance,TRASIGMA,2025-02-06T21:02:17Z,2025-02-06T21:17:40Z,"E 51st St & Berkman Dr, Austin",30.30390654,-97.69887573,8cddd17f-4da8-49c7-80d1-d0c2d5a44d81,
25-00040386,closed,"Issue Has Been Resolved - Close SR. Observed for several cycles via timing values, closed circuit television, and historical intersection timing values. Video detection appears to be actuating and dropping as expected. Intersection cycling as expected. Will continue to monitor operations.",Traffic Signal - Maintenance,TRASIGMA,2025-02-06T18:17:25Z,2025-02-06T19:58:14Z,"E Riverside Dr & Willow Creek Dr, Austin",30.23768069,-97.72565854,48810363-bab2-42fd-aed1-fb37835b43a3,
25-00040385,closed,"Issue Has Been Resolved - Close SR. Observed for several cycles via timing values, closed circuit television, and historical intersection timing report. Confirmed functional video detection on eastbound and westbound approaches. Detection and intersection cycling as expected. Will continue to monitor operations.",Traffic Signal - Maintenance,TRASIGMA,2025-02-06T18:15:57Z,2025-02-06T19:48:15Z,"Burnet Rd & W 49th St, Austin",30.31985641,-97.73922466,3741ca7f-b0f1-44ed-8f60-87529371033c,
25-00040480,open,Completed.,Traffic Signal - Maintenance,TRASIGMA,2025-02-06T19:16:08Z,2025-02-06T19:47:53Z,"5212 Mount Bonnell Rd, Austin",30.33645213,-97.77626149,0a986756-489a-4458-8b3a-e04f4b2df996,
