service_request_id,status,status_notes,service_name,service_code,description,requested_datetime,updated_datetime,address,lat,long,token
24-00245778,closed,Issue Has Been Resolved - Close SR.,Road Markings/Striping - Maintenance,ROADMARK,Broken flex post,2024-07-06T17:22:56Z,2024-08-28T12:22:30Z,"3701 Todd Ln, Austin",30.214705000000006,-97.73542833333329,6e95e4e7-6b53-4f2c-8609-ab1d00821a60
24-00300149,closed,Completed - Closed. Resolved by Company.,Shared Micromobility,DOCKMOBI,Scooter down ,2024-08-16T16:35:32Z,2024-08-16T17:51:21Z,"101 E 7th St, Austin",30.268878828055012,-97.74208065122366,b9274007-50f0-42c6-88d2-65f4100d2f34
24-00366386,closed,No Problem Found - Close SR.,Parking Violation Enforcement,PARKINGV,Parked in no parking zone,2024-10-07T12:52:58Z,2024-10-07T15:39:26Z,"2713 Hemphill Park, Austin",30.293077079266904,-97.74085954384518,c3efe746-f7cc-4760-a60b-0c5753722f32
24-00366363,closed,No Problem Found - Close SR.,Parking Violation Enforcement,PARKINGV,Car parked directly in front of fire hydrant ,2024-10-07T12:30:40Z,2024-10-07T15:39:04Z,"9001 Postvine Dr, Austin",30.275794041562047,-97.63240780681372,8045332c-9ef1-460b-b707-0781b24da197
24-00228674,closed,Study Requested - Close SR. Concern forwarded to Parking Enterprise for further evaluation.,Traffic Sign New,SIGNNEWT,#453 need pay to park sign to be able to enforce as it is an incomplete zone,2024-06-24T15:51:06Z,2024-08-29T21:24:05Z,"600 Park Pl, Austin",30.289887615522197,-97.73422244936228,8f667d03-38eb-4db5-bb8a-bb88264e6728
24-00243115,closed,Completed - Closed. Resolved by company.,Shared Micromobility,DOCKMOBI,Scooter blocking,2024-07-04T23:39:49Z,2024-07-05T15:34:42Z,"301 S Congress Ave, Austin",30.25894192106534,-97.7461327598017,664b448a-1e86-471c-af68-59546c33c1eb
24-00209378,closed,Submitted outside operating hours - Close SR. We will check the area.,Parking Violation Enforcement,PARKINGV,Parked in city staff parking ,2024-06-09T18:53:25Z,2024-06-10T13:11:17Z,"2105 Andrew Zilker Rd, Austin",30.26541003465758,-97.76911161839962,8426515f-1c28-46fe-8b17-674ff861e82c
24-00180350,closed,,Shared Micromobility,DOCKMOBI,Scooter down ,2024-05-20T15:18:00Z,2024-05-20T17:39:06Z,"504 W 27th St, Austin",30.291932373439717,-97.74230629205704,1816d6cd-8858-4c86-822e-954e738724cb
24-00266901,closed,Referred to Other Agency - Close SR. Refer to APD vehicle abatement.,Parking Violation Enforcement,PARKINGV,Inoperable truck,2024-07-23T13:48:20Z,2024-07-23T14:10:46Z,"2418 Wagon Crossing Path, Austin",30.189948614411797,-97.75462131947279,6a44cc6d-d007-4078-94db-a90ebc600105
24-00365756,closed,Referred to Other Agency - Close SR. Refer to APD vehicle abatement.,Parking Violation Enforcement,PARKINGV,Car parked 3 feet off curb with expired tags. In front of 1620 Anise Drive.  It has been abandoned for 4 weeks.,2024-10-06T17:14:51Z,2024-10-07T13:21:53Z,"1620 Anise Dr, Austin",30.223603968660395,-97.69451493129691,90f7b8b5-5604-46e7-9656-dc92ad435c21
